,Name,Company,LinkedIn,Batch
0,Uri Lopatin,Pardes Biosciences,https://linkedin.com/in/urilopatin,S20
1,JONATHAN SPORN,Gilgamesh Pharmaceuticals,https://www.linkedin.com/in/jonathan-sporn-4ba7802/?lipi=urn%3Ali%3Apage%3Ad_flagship3_feed%3BsZ0EMprfTbaqKu56p%2Bd6%2FA%3D%3D,S20
2,Andrew Kruegel,Gilgamesh Pharmaceuticals,https://www.linkedin.com/in/andrew-kruegel-39091a9b/,S20
3,Dalibor Sames,Gilgamesh Pharmaceuticals,https://www.linkedin.com/in/dalibor-sames-04031815b,S20
4,Ben Springwater,Matter,https://www.linkedin.com/in/benspringwater/,S20
5,Robert Mackenzie,Matter,https://www.linkedin.com/in/robert-n-mackenzie,S20
6,Wil Eyi,Toolbox,https://www.linkedin.com/in/wil-eyi,S20
7,Nick Macario,Verifiable,https://www.linkedin.com/in/nickmacario,S20
8,Viv Rajkumar,Verifiable,https://www.linkedin.com/in/vivrajkumar/,S20
9,Michael Dubrovsky,SiPhox Health,https://www.linkedin.com/in/michael-dubrovsky/,S20
10,Diedrik Vermeulen,SiPhox Health,https://www.linkedin.com/in/diedrik-vermeulen-a32361a/,S20
11,Nicholas Donahue,Atmos,https://www.linkedin.com/in/nicholas-donahue-0b77b7128/,S20
12,Jeffrey Dietrich,Rarebird,https://www.linkedin.com/in/jeffreydietrich,S20
13,Matt Anderson-Baron,Future Fields,http://linkedin.com/in/matthew-anderson-baron-92640315a,S20
14,Jalene Anderson-Baron,Future Fields,https://www.linkedin.com/in/jalene-anderson-baron/,S20
15,Mateo Cardenas Huertas,Todos Comemos,https://www.linkedin.com/in/mateocardenas/?locale=en_US,S20
16,Santiago Espinosa,Todos Comemos,https://www.linkedin.com/in/santiagoespinosam/,S20
17,Cameron Brookhouse,Quell,https://www.linkedin.com/in/cameron-brookhouse-77a16164/,S20
18,Lorenzo Spreafico,Quell,https://www.linkedin.com/in/lorenzospreafico/,S20
19,Martin Tweedie,Quell,https://www.linkedin.com/in/martin-tweedie-b97a0783/,S20
20,Bernardo Cordero,Clau,https://www.linkedin.com/in/bernardo-cordero-0bb4b527/,S20
21,Victor Noguera,Clau,https://www.linkedin.com/in/vnoguera/,S20
22,Arthur Alvarenga,Hubla,https://www.linkedin.com/in/arthur-alvarenga-0623b193/,S20
23,Breno Oliveira,Hubla,https://linkedin.com/in/breno-lima-38a09922,S20
24,Bernardo Reis,Hubla,https://www.linkedin.com/in/bernardo-reis-22255659/,S20
25,Raphael Capelão,Hubla,https://www.linkedin.com/in/raphael-capel%C3%A3o-052759135/,S20
26,Johannes Jaeckle,Heron Data,https://www.linkedin.com/in/johannes-jaeckle-614b567b/,S20
27,Dominic Kwok,Heron Data,https://www.linkedin.com/in/dominickwok/,S20
28,Jamie Parker,Heron Data,https://www.linkedin.com/in/jamie-parker-1068a414/,S20
29,Jin Chang,Fieldguide,https://www.linkedin.com/in/jinwchang/,S20
30,Chris Szymansky,Fieldguide,https://www.linkedin.com/in/chrisszymansky/,S20
31,Jeremy Zhang,Finch,https://www.linkedin.com/in/jeremyziyuzhang/,S20
32,Ansel Parikh,Finch,https://www.linkedin.com/in/ansel-parikh/,S20
33,David Villarreal,Parrot Software 🦜,https://www.linkedin.com/in/davvilla/,S20
34,Roberto Cebrian,Parrot Software 🦜,https://www.linkedin.com/in/robertocebrian/,S20
35,Bharath Varma,Zuddl,www.linkedin.com/in/bharath-varma91,S20
