Unnamed: 0,Name,Company,LinkedIn,Batch,exit_value_usd,total_funding_usd
0,Ivan Tsybaev,Careerist,https://www.linkedin.com/in/ivantsybaev/,S21,0.0,8000000.0
1,Max Glubochansky,Careerist,https://www.linkedin.com/in/maxqa/,S21,0.0,8000000.0
2,Max Gusakov,Careerist,https://www.linkedin.com/in/gusakovm/,S21,0.0,8000000.0
3,David Akinin,JABU,https://www.linkedin.com/in/davidakinin/,S21,0.0,18200000.0
4,Alex Gordon,Revolve Surgical,https://www.linkedin.com/in/alex-gordon-01/,S21,0.0,130000.0
5,Peter Francis,Revolve Surgical,https://www.linkedin.com/in/peterfrancis19/,S21,0.0,130000.0
6,Matthew Kang,Revolve Surgical,https://www.linkedin.com/in/matthew-kang/,S21,0.0,130000.0
7,Melody Roberts,Liv Labs,https://www.linkedin.com/in/melodyannroberts/,S21,0.0,2600000.0
8,Carly Price,Liv Labs,https://www.linkedin.com/in/pricecarly/,S21,0.0,2600000.0
9,Olusegun Owoade,Mecho Autotech,https://www.linkedin.com/in/olusegun-owoade-0437a916/,S21,0.0,4550000.0
10,Ahmed Omar,Sully.ai,https://www.linkedin.com/in/ao7/,S21,0.0,11240000.0
11,Ahmed Nasser,Sully.ai,https://www.linkedin.com/in/realahmednasser,S21,0.0,11240000.0
12,Mila Dayan,Beau,https://www.linkedin.com/in/mila-dayan,S21,0.0,0.0
13,Kyril Kulikov,Beau,https://www.linkedin.com/in/kyril-ku/,S21,0.0,0.0
14,Kirill Zakharov,Beau,https://www.linkedin.com/in/kirillzaharov/,S21,0.0,0.0
15,Francisca Noguera,Toku,https://www.linkedin.com/in/francisca-noguera-toku/,S21,0.0,20000000.0
16,Cristina Etcheberry,Toku,https://www.linkedin.com/in/cristina-etcheberry-toku/,S21,0.0,20000000.0
17,Enzo Tamburini,Toku,https://www.linkedin.com/in/entamburini/,S21,0.0,20000000.0
18,Will Bryk,Exa,https://www.linkedin.com/in/william-bryk,S21,0.0,22000000.0
19,Fredrick Burns,Safer Management,https://linkedin.com/in/fred-burns-63a8b07b,S21,0.0,0.0
21,Shady El Tohfa,Amenli,https://www.linkedin.com/in/shady-el-tohfa-13023258/,S21,0.0,3300000.0
