,Name,Company,LinkedIn,Batch
0,Alex Bouaziz,Deel,https://www.linkedin.com/in/alexbouaziz/,W19
1,Shuo Wang,Deel,https://www.linkedin.com/in/shuo-wang-848a8956/,W19
2,Maximiliano Casal,Nowports,https://www.linkedin.com/in/maxcasal/,W19
3,Alfonso de los Rios Villareal,Nowports,https://www.linkedin.com/in/alfonso-de-los-rios-24a3a713a/,W19
4,Yuan Gao,JuziBot,https://www.linkedin.com/in/yuan-gao--/,W19
5,Huan Li,JuziBot,https://linkedin.com/in/zixia,W19
6,Jiarui Li,JuziBot,https://www.linkedin.com/in/%E4%BD%B3%E8%8A%AE-%E6%9D%8E-710277b6/,W19
7,Joey Grassia,Shef,https://www.linkedin.com/in/joeygrassia,W19
8,Angela Essien,Schoolable,https://www.linkedin.com/in/gigi-gella-3b446083/,W19
9,Henry Nnalue,Schoolable,https://www.linkedin.com/in/henry-chibuzo-b0378b143/,W19
10,Budi Handoko,Shipper,https://www.linkedin.com/in/bhandoko/,W19
11,Phil Opamuratawongse,Shipper,https://www.linkedin.com/in/phil-opamuratawongse-b87b9380/,W19
12,Jijo Sunny,Buy Me a Coffee,https://www.linkedin.com/in/jijosunny,W19
13,Joseph Sunny,Buy Me a Coffee,https://www.linkedin.com/in/joseph-sunny/,W19
14,Aleesha John,Buy Me a Coffee,https://www.linkedin.com/in/aleeshajohn,W19
15,Aylon Steinhart,Eclipse Foods,https://www.linkedin.com/in/aylonsteinhart/,W19
16,Thomas Elliott Bowman,Eclipse Foods,https://www.linkedin.com/in/thomas-bowman-b2a2a9195,W19
17,François Baldassari,Memfault,https://www.linkedin.com/in/francois-baldassari-63a8b91a/,W19
18,Christopher Coleman,Memfault,https://www.linkedin.com/in/christopher-coleman-812aa06b/,W19
19,Tyler Hoffman,Memfault,https://www.linkedin.com/in/tyhoff/,W19
20,Akash Bakshi,YourChoice Therapeutics,https://www.linkedin.com/in/akashbakshi/,W19
21,Nadja Mannowetz,YourChoice Therapeutics,https://www.linkedin.com/in/nadja-mannowetz-b7633655/,W19
22,Aditya Kaji,Taali Inc,https://www.linkedin.com/in/aditya-kaji-7712b614/,W19
23,Aarti Kochhar Kaji,Taali Inc,https://www.linkedin.com/in/aarti-kochhar-kaji-91aa5b1b/,W19
24,Muhga Eltigani,NaturAll Club,https://www.linkedin.com/in/muhga/,W19
25,Patrick Mrozowski,Atlas,https://www.linkedin.com/in/patrickmrozowski/,W19
26,Sid Parihar,Atlas,,W19
27,Kenan Pulak,Atlas,https://www.linkedin.com/in/kenanpulak,W19
28,Xiankun Wu,rct AI,https://www.linkedin.com/in/xiankunwu,W19
29,Chen Yuheng,rct AI,https://linkedin.com/in/sergiochan/,W19
30,Rob McGinnis,Prometheus,https://www.linkedin.com/in/robertmcginnis,W19
