Name,Undergrad School,Graduate School,Current Company,Current Title,Previous Companies,Previous Titles,Linkedin,EXIT,FOUNDER,STARTUP,UNDERGRAD,GRADUATE,COMPANY,SENIORITY,EXPERTISE,feature_vector
Ivan Tsybaev,,,Careerist,CEO,"['Trucker Path', 'American Business Association of Russian-speaking Professionals (AmBAR)', 'Various businesses', 'Art. Lebedev Studio', 'ExxonMobil']","['Founder, CEO', 'VP', 'Business Owner', 'Regional Manager - North America', 'Financial Management']",https://www.linkedin.com/in/ivantsybaev,2,3,3,1,0,1,3,1,[1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1]
Max Glubochansky,Carmel Academic Center,,Careerist,"Co-founder, CBO at Careerist.com","['Apple', 'Intel Corporation', 'Apple', 'Crossmatch', 'OOYALA', 'DHAP Digital', 'QVC']","['QA Engineer II (Siri)', 'Test Engineer - Intel® True VR (Voke)', 'Software QA Engineer ', 'Software/Hardware QA Engineer', 'Sr. Functional Tester - Playback team', 'Software QA Engineer - at Scion.com (TOYOTA Scion)', 'QA Tester ']",https://www.linkedin.com/in/maxqa,0,3,3,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Max Gusakov,,,Careerist,"Co-founder, CTO","['Trucker Path', 'Milax']","['Project Manager', 'Founder']",https://www.linkedin.com/in/gusakovm,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
David Akinin,University of Chicago,Graduate School of Business - University of Cape Town,JABU,Founder & CEO,"['Emanya Capital Group (Pty) Ltd', 'Ministry of Justice of the Republic of Namibia', 'Namibia Property Group', 'Credit Suisse', 'Credit Suisse', 'Credit Suisse']","['Director', 'Member of the Working Committee', 'MD, Founder', 'Investment Banking - Latin America', 'Investment Banking - Chile', 'Investment Banking - Global Energy']",https://www.linkedin.com/in/davidakinin,0,3,2,1,1,1,2,1,[1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 0]
Alex Gordon,University of Toronto,University of Toronto,Revolve Surgical,"CEO, Co-founder ","['Creative Destruction Lab', 'The Hospital for Sick Children', 'University of Toronto', 'Multimatic Inc.']","['CDL Alumni, 2019-2020 Health Stream ', 'Biomedical Designer', 'Engineering Design TA', 'Structures and Mechanisms Analyst']",https://www.linkedin.com/in/alex-gordon-01,0,1,2,3,1,1,1,3,[0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Peter Francis,University of Waterloo,University of Toronto,Revolve Surgical,Chief Technology Officer,"['Brachium', 'The Hospital for Sick Children', 'Quanser', 'The Hospital for Sick Children', 'CrossChasm Technologies']","['Mechatronics Engineer', 'Surgical Robotics Graduate Research Student', 'Hardware Engineering Co-op', 'Surgical Robotics Research Intern', 'Vehicle Design Engineering']",https://www.linkedin.com/in/peterfrancis19,0,0,1,3,1,1,1,3,[0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0]
Matthew Kang,Carleton University,University of Toronto,Revolve Surgical,Co-Founder,"['Swift Medical', 'SensOR Medical Laboratories Ltd.', 'MyndTec', 'The Hospital for Sick Children', 'The Hospital for Sick Children', 'University of Toronto', 'Carleton University', 'The Hospital for Sick Children', 'Carleton University', 'Ontario Ministry of Health and Long-Term Care']","['Machine Vision Engi-near™', 'Hardware / AI Lead', 'Product Development Intern', 'Surgical Simulation Graduate Research Student', 'Surgical Tool Research Student', 'Teaching Assistant', 'Teaching Assistant', 'Simulation Research Student', 'Residence Fellow', 'Claims Support Assistant']",https://www.linkedin.com/in/matthew-kang,0,0,2,1,1,1,1,3,[1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Melody Roberts,Y Combinator,,Liv Labs,Cofounder and CEO,"['Polsky Center for Entrepreneurship and Innovation at The University of Chicago', 'Panera Bread', 'Panera Bread', ""McDonald's"", ""McDonald's Corporation"", 'IDEO', 'Smart Design', 'Bard Graduate Center', 'Cooper Hewitt, Smithsonian Design Museum']","['Incubator Company', 'Vice President, Customer Experience Innovation', 'Vice President, Digital Experience', 'Senior Director, Experience Innovation and Operations Research', 'Director, Customer Experience Design', 'Program Lead, Transformation', 'Director, Design Research', 'Assistant Dean', 'Exhibition Coordinator']",https://www.linkedin.com/in/melodyannroberts,0,3,3,1,0,1,2,1,[1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Carly Price,The Wharton School,The Wharton School,Liv Labs (YC S21),"Founder, Inventor, Board Member","['JPMorgan Chase & Co.', 'Casper', 'Independent', 'IDEO', 'IDEO', 'Parsons School of Design', 'Smart Design', 'Radius Product Development']","['Executive Director, Head of Branch Innovation', 'VP, Product Design & Development', 'Design Consultant', 'Director, Consumer Experience Design', 'Senior Designer, Project Leader', 'Part-time Faculty, Department of Design and Management', 'Project Leader, Senior Industrial Designer', 'Industrial Designer']",https://www.linkedin.com/in/pricecarly,0,1,3,1,1,1,3,3,[1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1]
Olusegun Owoade,Ladoke Akintola University of Technology,,Mecho Autotech,"Founder, Operations, Strategy & Management","['Kobo360', 'EY', 'H R Nigeria Limited (formerly Hymans Robertson Nigeria Ltd)', 'Continental Reinsurance']","['Head, Risk & Insurance', 'Manager Risk Advisory Services', 'Senior Actuarial Consultant', 'Life Operations Technical Support']",https://www.linkedin.com/in/olusegun-owoade,0,0,3,1,0,1,2,1,[1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1]
