Name,Undergrad School,Graduate School,Current Company,Current Title,Previous Companies,Previous Titles,Linkedin,EXIT,FOUNDER,STARTUP,UNDERGRAD,GRADUATE,COMPANY,SENIORITY,EXPERTISE,feature_vector
Alexander Meek,St. Lawrence University,Babson F.W. Olin Graduate School of Business,StokedPlastics,Board of Directors,"['Newday Impact Investing', 'Silver Creek Capital', 'Fred Beverages, Inc.', 'Deutsche Bank']","['Co-founder & President', 'Director', 'Vice President', 'Associate']",https://www.linkedin.com/in/alexandermeek,0,3,3,1,1,1,2,1,[1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Aadit Palicha,Stanford University,,Zepto,Co-Founder & CEO,"['KiranaKart', 'GoPool', 'PryvaSee']","['Founder & CEO', 'Founder', 'Project Lead']",https://www.linkedin.com/in/aadit-palicha,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Kaivalya V.,Stanford University,,Zepto,Co-Founder | Product & Tech,['KiranaKart'],['Founder & CTO'],https://www.linkedin.com/in/kaivalya-vohra,0,2,2,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0]
Artur Ribas,Universidade do Vale do Itajaí,,Kiwify,Co-founder & CEO,"['dPay.ng', 'RPX Internet', 'Adv.li', 'Agência Games', 'TibiaService']","['Co-founder & CEO', 'Co-Founder & CEO', 'Co-Founder', 'Founder', 'Founder']",https://www.linkedin.com/in/artur-ribas-01b104157,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Marinho Gomes,,,Kiwify,Co-Founder,"['dPay.ng', 'LiveEO', 'CODE University of Applied Sciences', 'MGMN Empreendimentos Digitais', 'freelance', 'freelance', 'Oceano Sistemas']","['CTO & Co-founder', 'Full Stack Developer', 'Frontend Developer', 'CTO & Co-Founder', 'Freelancer', 'Freelancer', 'Lead Web Developer']",https://www.linkedin.com/in/marinho-gomes,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
🔭 Dzung Dang,Harvard Business School,Harvard Business School,Nano Technologies (YC W21),Co-Founder,"['Confidential (In stealth mode)', 'VNG Corporation', 'Uber', 'Harvard Business School', 'McKinsey & Company', 'Vietbridge Capital', 'Institute of International Education', 'GSA Education LLC']","['Consultant to CEO & BoD', 'CEO, ZaloPay', 'General Manager', 'MBA Candidate 2015', 'Consultant', 'Investment Analyst', 'Amherst College Fellow', 'Co-Manager']",https://www.linkedin.com/in/🔭-dzung-dang-1565425,0,1,3,1,1,1,1,1,[1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1]
Thang Nguyen,,, Nano Technologies Pte Ltd,Co-Founder,"['Focal Labs', 'Missing Corner', 'Seespace', 'Dynabyte']","['Co-Founder/CTO', 'Software Technical Leader', 'Senior Software Developer', 'Software Developer']",https://www.linkedin.com/in/thang-nguyen-92620557,0,3,3,1,0,1,2,1,[1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Ben Eluan,,,Flux,VP of Product,[],[],https://www.linkedin.com/in/ben-eluan,0,1,1,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0]
Israel Akintunde,,,Blueloop,VP of Engineering,['PATRICIA'],['Frontend Developer'],https://www.linkedin.com/in/israel-akintunde,0,1,2,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0]
Osezele Orukpe,,,Blueloop,Software Engineer,['joppa.ng'],['Back End Engineer'],https://www.linkedin.com/in/osezele-orukpe,0,1,1,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0]
