Name,Undergrad School,Graduate School,Current Company,Current Title,Previous Companies,Previous Titles,Linkedin,EXIT,FOUNDER,STARTUP,UNDERGRAD,GRADUATE,COMPANY,SENIORITY,EXPERTISE,feature_vector
Matt Feury,,,Flock Safety,"Founder, Distinguished Engineer (2023 - Present), CTO (2017 - 2023)","['Experience LLC', 'OpenStudy.com', 'United Methodist Communications', 'CEMB Studios']","['Product Strategy, Software Engineer', 'Software Engineer', 'Web Development Intern', 'Staff Engineer']",https://www.linkedin.com/in/mattfeury,0,0,2,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Garrett Langley,Georgia Institute of Technology,,Flock Safety,Founder & CEO,"['Moment LLC', 'Kenzie Lane Innovation', 'Experience LLC', 'Clutch Technologies', 'Firethorn, acquired by Qualcomm', 'Garrett Langley – Computer Services']","['President', 'Product, Engineering, Design', 'Vice President and Co-Founder', 'Product, Engineering, Design', 'Employee', 'Owner']",https://www.linkedin.com/in/glangley,2,3,3,2,0,1,2,3,[0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1]
Carly Leahy,Amherst College,,Modern Fertility,"Co-founder, CCO Modern Fertility","['Uber', 'Google', 'Digitas']","['Senior Content Designer & Creative Strategist, Uber Everything', 'Creative Lead', 'Creative Strategist + Copywriter']",https://www.linkedin.com/in/carlyleahy,0,3,3,1,0,2,2,1,[1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Afton Vechery,Wake Forest University,,Modern Fertility,Co-founder / CEO,"['23andMe', 'Willow Pump', 'Autism Acumen', 'ARIS Teleradiology', 'Great Point Partners', 'Kera10 (now Virtue Labs)']","['Product', 'Strategy & Finance Consultant', 'Head of Product and Operations', 'Board Observer', 'Private Equity Analyst', 'Co-Founder']",https://www.linkedin.com/in/aftonv,2,3,3,1,0,1,2,3,[1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1]
Reeju Datta,,,Cashfree,Co-Founder,"['FabFurnish.com', 'ZS Associates']","['CRM, Affiliate and Mobile Marketing', 'Business Operations Associate']",https://www.linkedin.com/in/reejudatta,0,0,2,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0]
Akash S.,,,Cashfree Payments ,Co-founder and CEO,"['Amazon', 'Google Summer of Code']","['Software Development Engineer II', 'Contract Developer']",https://www.linkedin.com/in/sinhaakash,0,0,1,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0]
April Chang,,,10x10,Founder and CEO - We are hiring!,"['StyleSeat', 'Eventbrite', 'PayPal', 'Yahoo!', 'Sun Microsystems', 'Sun Microsystems']","['VP of Engineering', 'VP of Engineering', 'Payments Applications - Sr. Engineering Director', 'Senior Director Software Engineering', 'Engineering Director', 'Staff Engineer']",https://www.linkedin.com/in/aprilschang,0,3,3,1,0,1,3,3,[1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1]
Robert Bartruff Jr,University of Washington,,10by10,Co-Founder,"['Oracle Corporation', 'Sun Microsystems', 'Sun Microsystems', 'Sun Microsystems', 'Sun Microsystems', 'Sun Microsystems', 'Eaton IMSD', 'Hughes Aircraft']","['Director Sun Ray Software', 'Director Sun Ray Engineering', 'Sr Manager, Sun Ray Engineering', 'Software Manager, Graphics Platform Software', 'MTS Graphics System Software', 'MTS Graphics Verification Group', 'MTS', 'MTS']",https://www.linkedin.com/in/robertbartruff,0,1,2,2,0,1,2,3,[0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Steven Clausnitzer,,,Forever Labs Inc,CEO and Co Founder,['American Express'],"['Manager of Business Development, Merchant Acquisition and Optimization']",https://www.linkedin.com/in/steven-clausnitzer-5142bb127,0,1,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1]
Mark Katakowski,Oakland University,,Forever Labs Inc,President & Chief Science Officer/Co-founder,['Henry Ford Health System'],['Research Staff Scientist'],https://www.linkedin.com/in/mark-katakowski,0,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1]
Imran Khoja,Stanford University Graduate School of Business,Stanford University Graduate School of Business,Just Appraised,Co-Founder & CEO,"['spotify', 'IDEO', 'Fiksu', 'Fiksu', 'The Gear Den', 'Designed Good', 'Two Degrees', 'Williams College', 'Qrew', 'Delta Partners', 'lululemon athletica']","['Product Owner Intern', 'Business and Interaction Design', 'Senior Product Manager', 'Product Manager', 'Co-Founder and Manager', 'Co-Founder & CEO', 'Campus Sales Director', 'Tour Guide', 'Market Research and Agile Software Intern', 'Intelligence Unit and Strategic Advisory Intern', 'Educator']",https://www.linkedin.com/in/imrankk,0,3,3,1,1,1,2,3,[1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Travis Noll,Stanford University,Stanford University Graduate School of Business,Just Appraised,"Chief Operating Officer, Co-founder","['Invoice2go', 'Action in Africa', 'ZS Associates', 'Stanford Student Enterprises', ""Stanford Varsity Men's Water Polo"", 'ZS Associates', 'Stanford Student Enterprises', 'Royal Bank of Scotland', 'Stanford University']","['Product Manager', 'Strategy and Operations', 'Business Analytics Associate', 'Chief Operating Officer', 'Athlete, Captain', 'Business Associate Intern', 'Banking Associate', 'Summer Analyst', 'Research Assistant']",https://www.linkedin.com/in/travisalexandernoll,0,1,2,1,1,1,1,3,[1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0]
Tom Harel 🇮🇱🇺🇸,"University of California, Berkeley",,Routable,Co-founder & Chief Technical Officer,"['Yelp', 'Eat24', 'LitiNomics', 'Arctivity', 'Radia Systems', 'Harel IT', 'Lamir Communication and Computers LTD', 'Israel Defense Forces']","['Software Engineer and Data Scientist', 'Data Scientist', 'Analyst', 'Algorithm Developer', 'Systems Engineer', 'Owner and Founder', 'Business Account Manager', 'Data Analyst']",https://www.linkedin.com/in/tom-harel-🇮🇱🇺🇸-74668864,0,3,3,3,0,1,1,3,[0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Omri Mor,University of Washington (Seattle),,Routable,Co-founder & CEO,"['ZIIBRA', 'Down App, Inc.', 'BadgeFarm.com', 'IdeaScale, LLC', 'Xconomy', 'Uptown Treehouse LLC']","['Founder & CEO (Acq. Tagboard)', 'Co-founder and Chairman of the Board (Acq. Paktor)', 'VP of Product, Business Development', 'Marketing', 'Intern', 'Social Media Marketing Manager']",https://www.linkedin.com/in/omrimor,2,3,3,1,0,1,3,3,[1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 1]
Christopher Lotz,,,Goodcover,CEO,"['AIG', 'AIG', 'AIG', 'AIG']","['Senior Yacht Underwriter - Pacific', 'Asia Pacific Yacht Underwriter', 'Asia Pacific Yacht Underwriter', 'Yacht Underwriter']",https://www.linkedin.com/in/chrislotz,0,1,1,1,0,1,2,1,[1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0]
