Name,Undergrad School,Graduate School,Current Company,Current Title,Previous Companies,Previous Titles,Linkedin,EXIT,FOUNDER,STARTUP,UNDERGRAD,GRADUATE,COMPANY,SENIORITY,EXPERTISE,feature_vector
Pedro Franceschi,Stanford University,,Brex,Founder and CEO,"['Pagar.me Pagamentos S.A.', 'M4U', 'Sync Mobile', 'Brainjuice']","['Founder', 'Software Engineer', 'Software Engineer', 'Software Engineer']",https://www.linkedin.com/in/pfranceschi,1,3,3,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1]
Henrique Dubugras,Stanford University,,Brex,Founder and Chairman,"['Pagar.me', 'EduqueMe', 'Estudar nos EUA', 'Views', 'Ingresse', 'Cronus Emulator']","['Founder and CEO', 'Founder', 'Founder', 'iOS Developer', 'Tech Leader', 'Developer']",https://www.linkedin.com/in/henriquedubugras,2,3,3,1,0,1,1,1,[1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1]
Wei D.,Yale University,,Clipboard Health,CEO & Founder,"['Y Combinator', 'Sendwave (International Remittance)', 'Moelis & Company', 'Davis Polk & Wardwell LLP', 'Wachtell, Lipton, Rosen & Katz', 'Department of Economics, University of Chicago']","['W17 Alumni', 'Product Manager and Business Operations', 'Associate', 'Associate', 'Summer Associate', 'Researcher']",https://www.linkedin.com/in/dengwei,0,3,3,1,0,1,1,3,[1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Marcelo Cortes,University of Waterloo,,Faire,CTO & Co-Founder,"['Square', 'FreePoint Inc', 'Google', 'Nikon Metrology', 'Mobile Computing Corporation', 'Virtek Vision International', 'Bell Canada', 'Vesta Technologies', 'WA']","['Staff Software Engineer', 'Co-Founder', 'Senior Software Engineer', 'Senior Software Architect', 'Embedded Software Developer', 'Senior Software Developer', 'Embedded Software Developer', 'Software Developer', 'Software Developer']",https://www.linkedin.com/in/marcelo-cortes-b34317,0,1,3,3,0,2,2,3,[0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1]
Daniele Perito,Sapienza Università di Roma,Sapienza Università di Roma,Faire,Chief Data Officer & Co-Founder,"['Square', 'UC Berkeley', 'Stanford University', 'UC Irvine', 'INRIA', 'Independent']","['Director of security and risk engineering', 'Postdoctoral Researcher', 'Research Visitor', 'Research Visitor', 'Research Intern', 'Security Consultant']",https://www.linkedin.com/in/danieleperito,0,3,3,1,1,1,2,3,[1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Max Rhodes,Yale University,,Faire,Co-founder and CEO,"['Square', 'Square', 'Square', 'Square', 'AppDirect', 'Bain and Company', 'College Pro Painters', 'Morey Evans Advertising']","['Director of Consumer Product, Caviar', 'Product Manager, Square Cash', 'Product Manager, Square Capital', 'Business Analyst', 'End-User Strategy', 'Associate Consultant', 'Franchise Manager', 'PR intern']",https://www.linkedin.com/in/max-rhodes,0,1,3,1,0,1,2,3,[1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1]
Parker Conrad,Harvard University,,Rippling,Customer Support,"['Zenefits', 'SigFig', 'SigFig', 'Wikinvest', 'Amgen']","['Co-Founder and CEO', 'Co-Founder, Board Member', 'President, Head of Product', 'Co-CEO, Co-Founder', 'Product Manager']",https://www.linkedin.com/in/parkerconrad,0,3,3,1,0,1,2,3,[1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Prasanna Sankar,,,Rippling,Co-Founder and CTO,"['Zenefits', 'Likealittle', 'Microsoft', 'Google']","['Director of Engineering', 'Co-Founder and CTO', 'Software Developer', 'Intern']",https://www.linkedin.com/in/myprasanna,0,3,3,1,0,2,2,3,[1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1]
Chris Pihl,University of Washington,University of Washington,Helion Energy,"Co-Founder, CTO","['Pulse Power Solutions, LLC', 'University of Washington', 'University of Washington', 'University of Washington', 'MSNW', 'May Creek Power']","['President', 'Engineer / Scientist II', 'Senior Technical Lead', 'Engineering Technician', 'Project Manager / Pulsed Power Engineer', 'President']",https://www.linkedin.com/in/chris-pihl-4a84b1a,0,2,2,2,1,1,2,3,[0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 0]
Anthony Romero,Princeton University,,American Civil Liberties Union,Executive Director (CEO),"['Ford Foundation', 'The Rockefeller Foundation']","['Director, Human Rights and International Cooperation & Program Officer', 'Senior Program Advisor & Warren Weaver Fellow']",https://www.linkedin.com/in/anthonydromero,0,0,1,1,0,1,2,1,[1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0]
